activity_id,week,location_id,co_share_group
A025,25,SEC:ALP:S01_S02:EB,b1
A025,25,SEC:ALP:S02_S03:EB,b1
A028,9,PLAT:ALP:H01:EB,b1
A028,9,PLAT:ALP:S03:EB,b1
A028,9,PLAT:ALP:S04:EB,b1
A028,9,SEC:ALP:S03_S04:EB,b1
A028,9,SEC:ALP:S04_H01:EB,b1
A028,10,PLAT:ALP:H01:EB,b1
A028,10,PLAT:ALP:S03:EB,b1
A028,10,PLAT:ALP:S04:EB,b1
A028,10,SEC:ALP:S03_S04:EB,b1
A028,10,SEC:ALP:S04_H01:EB,b1
A031,3,PLAT:ALP:S06:WB,b1
A031,3,PLAT:ALP:S07:WB,b1
A031,3,PLAT:ALP:S08:WB,b1
A031,3,SEC:ALP:S06_S07:WB,b1
A031,3,SEC:ALP:S07_S08:WB,b1
A031,4,PLAT:ALP:S06:WB,b1
A031,4,PLAT:ALP:S07:WB,b1
A031,4,PLAT:ALP:S08:WB,b1
A031,4,SEC:ALP:S06_S07:WB,b1
A031,4,SEC:ALP:S07_S08:WB,b1
A035,6,PLAT:ALP:S02:WB,b1
A035,6,PLAT:ALP:S03:WB,b1
A035,6,PLAT:ALP:S04:WB,b1
A035,6,SEC:ALP:S02_S03:WB,b1
A035,6,SEC:ALP:S03_S04:WB,b1
A035,11,PLAT:ALP:S02:WB,b1
A035,11,PLAT:ALP:S03:WB,b1
A035,11,PLAT:ALP:S04:WB,b1
A035,11,SEC:ALP:S02_S03:WB,b1
A035,11,SEC:ALP:S03_S04:WB,b1
A035,17,PLAT:ALP:S02:WB,b1
A035,17,PLAT:ALP:S03:WB,b1
A035,17,PLAT:ALP:S04:WB,b1
A035,17,SEC:ALP:S02_S03:WB,b1
A035,17,SEC:ALP:S03_S04:WB,b1
A036,22,PLAT:BET:H01:EB,b1
A036,22,PLAT:BET:S14:EB,b1
A036,22,SEC:BET:S14_H01:EB,b1
A036,23,PLAT:BET:H01:EB,b1
A036,23,PLAT:BET:S14:EB,b1
A036,23,SEC:BET:S14_H01:EB,b1
A036,24,PLAT:BET:H01:EB,b1
A036,24,PLAT:BET:S14:EB,b1
A036,24,SEC:BET:S14_H01:EB,b1
A036,25,PLAT:BET:H01:EB,b1
A036,25,PLAT:BET:S14:EB,b1
A036,25,SEC:BET:S14_H01:EB,b1
A036,26,PLAT:BET:H01:EB,b1
A036,26,PLAT:BET:S14:EB,b1
A036,26,SEC:BET:S14_H01:EB,b1
A036,27,PLAT:BET:H01:EB,b1
A036,27,PLAT:BET:S14:EB,b1
A036,27,SEC:BET:S14_H01:EB,b1
A037,12,PLAT:BET:S15:EB,b1
A037,12,PLAT:BET:S16:EB,b1
A037,12,PLAT:BET:S17:EB,b1
A037,12,SEC:BET:S15_S16:EB,b1
A037,12,SEC:BET:S16_S17:EB,b1
A037,13,PLAT:BET:S15:EB,b1
A037,13,PLAT:BET:S16:EB,b1
A037,13,PLAT:BET:S17:EB,b1
A037,13,SEC:BET:S15_S16:EB,b1
A037,13,SEC:BET:S16_S17:EB,b1
A038,19,PLAT:BET:S17:EB,b1
A038,19,PLAT:BET:S18:EB,b1
A038,19,SEC:BET:S17_S18:EB,b1
A038,21,PLAT:BET:S17:EB,b1
A038,21,PLAT:BET:S18:EB,b1
A038,21,SEC:BET:S17_S18:EB,b1
A038,25,PLAT:BET:S17:EB,b1
A038,25,PLAT:BET:S18:EB,b1
A038,25,SEC:BET:S17_S18:EB,b1
A039,10,PLAT:BET:S11:WB,b1
A039,10,PLAT:BET:S12:WB,b1
A039,10,PLAT:BET:S13:WB,b1
A039,10,PLAT:BET:S14:WB,b1
A039,10,SEC:BET:S11_S12:WB,b1
A039,10,SEC:BET:S12_S13:WB,b1
A039,10,SEC:BET:S13_S14:WB,b1
A039,11,PLAT:BET:S11:WB,b1
A039,11,PLAT:BET:S12:WB,b1
A039,11,PLAT:BET:S13:WB,b1
A039,11,PLAT:BET:S14:WB,b1
A039,11,SEC:BET:S11_S12:WB,b1
A039,11,SEC:BET:S12_S13:WB,b1
A039,11,SEC:BET:S13_S14:WB,b1
A039,12,PLAT:BET:S11:WB,b1
A039,12,PLAT:BET:S12:WB,b1
A039,12,PLAT:BET:S13:WB,b1
A039,12,PLAT:BET:S14:WB,b1
A039,12,SEC:BET:S11_S12:WB,b1
A039,12,SEC:BET:S12_S13:WB,b1
A039,12,SEC:BET:S13_S14:WB,b1
A039,14,PLAT:BET:S11:WB,b1
A039,14,PLAT:BET:S12:WB,b1
A039,14,PLAT:BET:S13:WB,b1
A039,14,PLAT:BET:S14:WB,b1
A039,14,SEC:BET:S11_S12:WB,b1
A039,14,SEC:BET:S12_S13:WB,b1
A039,14,SEC:BET:S13_S14:WB,b1
A039,15,PLAT:BET:S11:WB,b1
A039,15,PLAT:BET:S12:WB,b1
A039,15,PLAT:BET:S13:WB,b1
A039,15,PLAT:BET:S14:WB,b1
A039,15,SEC:BET:S11_S12:WB,b1
A039,15,SEC:BET:S12_S13:WB,b1
A039,15,SEC:BET:S13_S14:WB,b1
A039,19,PLAT:BET:S11:WB,b1
A039,19,PLAT:BET:S12:WB,b1
A039,19,PLAT:BET:S13:WB,b1
A039,19,PLAT:BET:S14:WB,b1
A039,19,SEC:BET:S11_S12:WB,b1
A039,19,SEC:BET:S12_S13:WB,b1
A039,19,SEC:BET:S13_S14:WB,b1
A039,26,PLAT:BET:S11:WB,b1
A039,26,PLAT:BET:S12:WB,b1
A039,26,PLAT:BET:S13:WB,b1
A039,26,PLAT:BET:S14:WB,b1
A039,26,SEC:BET:S11_S12:WB,b1
A039,26,SEC:BET:S12_S13:WB,b1
A039,26,SEC:BET:S13_S14:WB,b1
A040,13,PLAT:BET:H01:EB,b1
A040,13,PLAT:BET:H02:EB,b1
A040,13,PLAT:BET:S15:EB,b1
A040,13,PLAT:BET:S16:EB,b1
A040,13,SEC:BET:H01_H02:EB,b1
A040,13,SEC:BET:H02_S15:EB,b1
A040,13,SEC:BET:S15_S16:EB,b1
A040,14,PLAT:BET:H01:EB,b1
A040,14,PLAT:BET:H02:EB,b1
A040,14,PLAT:BET:S15:EB,b1
A040,14,PLAT:BET:S16:EB,b1
A040,14,SEC:BET:H01_H02:EB,b1
A040,14,SEC:BET:H02_S15:EB,b1
A040,14,SEC:BET:S15_S16:EB,b1
A040,21,PLAT:BET:H01:EB,b1
A040,21,PLAT:BET:H02:EB,b1
A040,21,PLAT:BET:S15:EB,b1
A040,21,PLAT:BET:S16:EB,b1
A040,21,SEC:BET:H01_H02:EB,b1
A040,21,SEC:BET:H02_S15:EB,b1
A040,21,SEC:BET:S15_S16:EB,b1
A040,22,PLAT:BET:H01:EB,b1
A040,22,PLAT:BET:H02:EB,b1
A040,22,PLAT:BET:S15:EB,b1
A040,22,PLAT:BET:S16:EB,b1
A040,22,SEC:BET:H01_H02:EB,b1
A040,22,SEC:BET:H02_S15:EB,b1
A040,22,SEC:BET:S15_S16:EB,b1
A040,23,PLAT:BET:H01:EB,b1
A040,23,PLAT:BET:H02:EB,b1
A040,23,PLAT:BET:S15:EB,b1
A040,23,PLAT:BET:S16:EB,b1
A040,23,SEC:BET:H01_H02:EB,b1
A040,23,SEC:BET:H02_S15:EB,b1
A040,23,SEC:BET:S15_S16:EB,b1
A040,24,PLAT:BET:H01:EB,b1
A040,24,PLAT:BET:H02:EB,b1
A040,24,PLAT:BET:S15:EB,b1
A040,24,PLAT:BET:S16:EB,b1
A040,24,SEC:BET:H01_H02:EB,b1
A040,24,SEC:BET:H02_S15:EB,b1
A040,24,SEC:BET:S15_S16:EB,b1
A040,27,PLAT:BET:H01:EB,b1
A040,27,PLAT:BET:H02:EB,b1
A040,27,PLAT:BET:S15:EB,b1
A040,27,PLAT:BET:S16:EB,b1
A040,27,SEC:BET:H01_H02:EB,b1
A040,27,SEC:BET:H02_S15:EB,b1
A040,27,SEC:BET:S15_S16:EB,b1
A041,16,PLAT:BET:S15:EB,b1
A041,16,PLAT:BET:S16:EB,b1
A041,16,SEC:BET:S15_S16:EB,b1
A041,24,PLAT:BET:S15:EB,b1
A041,24,PLAT:BET:S16:EB,b1
A041,24,SEC:BET:S15_S16:EB,b1
A042,25,PLAT:BET:S15:EB,b1
A042,25,PLAT:BET:S16:EB,b1
A042,25,PLAT:BET:S17:EB,b1
A042,25,PLAT:BET:S18:EB,b1
A042,25,SEC:BET:S15_S16:EB,b1
A042,25,SEC:BET:S16_S17:EB,b1
A042,25,SEC:BET:S17_S18:EB,b1
A042,26,PLAT:BET:S15:EB,b1
A042,26,PLAT:BET:S16:EB,b1
A042,26,PLAT:BET:S17:EB,b1
A042,26,PLAT:BET:S18:EB,b1
A042,26,SEC:BET:S15_S16:EB,b1
A042,26,SEC:BET:S16_S17:EB,b1
A042,26,SEC:BET:S17_S18:EB,b1
A042,27,PLAT:BET:S15:EB,b1
A042,27,PLAT:BET:S16:EB,b1
A042,27,PLAT:BET:S17:EB,b1
A042,27,PLAT:BET:S18:EB,b1
A042,27,SEC:BET:S15_S16:EB,b1
A042,27,SEC:BET:S16_S17:EB,b1
A042,27,SEC:BET:S17_S18:EB,b1
A043,23,PLAT:BET:H02:EB,b1
A043,23,PLAT:BET:S15:EB,b1
A043,23,PLAT:BET:S16:EB,b1
A043,23,PLAT:BET:S17:EB,b1
A043,23,SEC:BET:H02_S15:EB,b1
A043,23,SEC:BET:S15_S16:EB,b1
A043,23,SEC:BET:S16_S17:EB,b1
A043,24,PLAT:BET:H02:EB,b1
A043,24,PLAT:BET:S15:EB,b1
A043,24,PLAT:BET:S16:EB,b1
A043,24,PLAT:BET:S17:EB,b1
A043,24,SEC:BET:H02_S15:EB,b1
A043,24,SEC:BET:S15_S16:EB,b1
A043,24,SEC:BET:S16_S17:EB,b1
A046,11,PLAT:ALP:S05:WB,b1
A046,11,PLAT:ALP:S06:WB,b1
A046,11,SEC:ALP:S05_S06:WB,b1
A046,13,PLAT:ALP:S05:WB,b1
A046,13,PLAT:ALP:S06:WB,b1
A046,13,SEC:ALP:S05_S06:WB,b1
A046,17,PLAT:ALP:S05:WB,b1
A046,17,PLAT:ALP:S06:WB,b1
A046,17,SEC:ALP:S05_S06:WB,b1
A046,21,PLAT:ALP:S05:WB,b1
A046,21,PLAT:ALP:S06:WB,b1
A046,21,SEC:ALP:S05_S06:WB,b1
A046,27,PLAT:ALP:S05:WB,b1
A046,27,PLAT:ALP:S06:WB,b1
A046,27,SEC:ALP:S05_S06:WB,b1
A047,13,PLAT:ALP:H02:EB,b1
A047,13,PLAT:ALP:S05:EB,b1
A047,13,PLAT:ALP:S06:EB,b1
A047,13,SEC:ALP:H02_S05:EB,b1
A047,13,SEC:ALP:S05_S06:EB,b1
A047,14,PLAT:ALP:H02:EB,b1
A047,14,PLAT:ALP:S05:EB,b1
A047,14,PLAT:ALP:S06:EB,b1
A047,14,SEC:ALP:H02_S05:EB,b1
A047,14,SEC:ALP:S05_S06:EB,b1
A048,1,PLAT:BET:S13:EB,b1
A048,1,PLAT:BET:S14:EB,b1
A048,1,SEC:BET:S13_S14:EB,b1
A048,5,PLAT:BET:S13:EB,b1
A048,5,PLAT:BET:S14:EB,b1
A048,5,SEC:BET:S13_S14:EB,b1
A048,7,PLAT:BET:S13:EB,b1
A048,7,PLAT:BET:S14:EB,b1
